"ID","Type","Name","Documentation"
"c769b71c-9d7e-425e-b2e2-755a1807180e","ArchimateModel","old_boarding",""
"3915edb0-db2b-4e53-9ec5-01fa90136dcd","BusinessActor","Airline employees","Employees who works for specific airlines and provide administative support like verifying travel document, passport and issuing boarding pass
"
"7f23a6be-b980-4481-a389-5f143b4091c7","BusinessActor","Passengers","Passengers are the one who travells."
"c4ce554d-b513-4e27-a1fd-1f379e8b9cb7","BusinessActor","Security guards"," Security guards emplyeed by airport checks passengers security."
"2899710c-f781-4c8c-a5b0-e85216278d1e","BusinessFunction","Boarding to airplane","After waiting in loungue, passengers moves to respective boarding gates. Airline employees check for the individual boarding pass. Passengers may then take bus to board flights.  "
"a6a95921-c370-49a5-b6c9-9e32ee885db1","BusinessFunction","Checking boarding pass","Airline employees checks passenger's boarding pass before boarding."
"0276634a-2e9c-43b4-8784-eadef0fcc8cf","BusinessFunction","Flight departure","Flight departs the airport."
"7a1264ba-a3c0-48a3-bee2-b3f8af98e90a","BusinessFunction","Security check","General passenger screening where passengers are walk through metal detectors "
"cd2c8ce8-00ca-4f0b-b426-642e6495a70a","BusinessObject","Boarding Pass","A pass for boarding an Aircraft."
"4d347d17-b0ff-4134-a12a-01d072b9112b","BusinessProcess","Boarding  and departure","Airline employees check for the boarding pass and Passengers undergo security check and drives to aircraft inorder to board flight. "
"cf24c602-5e8a-4da5-bdb3-bbc00cd9e130","BusinessProcess","boarding to bus","Passengers boards terminal tranfer bus to go to the aircraft."
"83fd4d90-1c60-42b0-9ad0-c8ed45e85c1a","BusinessProcess","checking gate number","Waiting area of an airport where passengers wait befoe boarding."
"5ecd672d-9a55-4464-a539-96e58cec80eb","BusinessProcess","Driving to aircraft","passing to aircraft"
"2053fd55-aa11-4afa-801e-c75a907114d4","ApplicationCollaboration","Boarding and departure control system",""
"1ba66645-08a2-4dff-91a2-88718e413bb2","ApplicationComponent","Airline administration support","Responsible in handelling check-in process and boarding process. "
"2b6af255-91ab-443b-878f-48eb321e965f","ApplicationComponent","Boarding control",""
"3aad92a3-8ff7-4124-8a17-e1561dbf0031","ApplicationService","Identifying boarding pass","checking boarding pass of the passengers before boarding flight"
"fae12a15-f737-4f8b-98f2-47676e68562e","ApplicationService","Navigation control","The electronic system that aids navigation ."
"0442e787-266e-46db-8506-5092e2e10ee3","ApplicationService","Security",""
"3b056639-70b0-4022-bea8-a2db2ae8e6e6","DataObject","Passenger boarding pass details",""
"b223e7be-2cc1-4991-99b5-4a35404b48b7","CommunicationNetwork","Communication Network airside",""
"f38943fc-a088-4c0a-add1-fc860d568d3d","Device","Bar code reader",""
"2edbfc4f-c3b3-4c7f-816d-0381ea1b6cce","Device","GPS receiver",""
"1fbf8a43-ee9e-470f-934d-a23846ca1751","Device","GPS satellites",""
"32dae3bd-4ee0-4af5-b38b-6a8afe135c62","Device","Monitor",""
"b87063be-ec50-4775-a3c6-69f24f05cf80","Node","Barcode system","Scans bar code on boarding pass"
"82f406e1-5b2a-4a3b-867b-c057bc00734d","Node","GPS naviagtion system","GPS navigation technique that offers direction."
"8485f59f-a11a-41e6-b183-e1ee3b1b53db","SystemSoftware","Map database",""
"cd71f6da-f811-4527-8a91-897a2cba5220","SystemSoftware","Passenger database",""
"b1ab885b-a386-47a6-85de-e4046977c610","TechnologyService","GPS facility ","Offers navigation system connected to bus."
"80e5c1a3-8136-4bcf-8bd7-5dd1b35d0b21","TechnologyService","Reads Boarding pass bar code",""
